계약면적(㎡),보증금(만원),월세금(만원),건축년도,계약기간,도로조건_-,도로조건_12m미만,도로조건_25m미만,도로조건_25m이상,도로조건_8m미만
22.0,200,38,2008.0,12.0,0,1,0,0,0
18.0,3000,20,1993.0,12.0,0,0,0,0,1
20.0,500,37,1998.0,12.0,0,0,0,1,0
20.0,300,30,2016.0,12.0,0,0,0,0,1
27.96,300,36,2019.0,9.0,0,0,0,0,1
17.0,300,35,2018.0,12.0,0,0,0,0,1
51.0,500,45,1997.0,12.0,0,0,0,0,1
60.0,150,38,1996.0,12.0,0,0,0,0,1
20.0,300,50,2016.0,13.0,0,1,0,0,0
20.0,200,30,2002.0,23.0,0,0,0,0,1
48.0,500,30,1989.0,24.0,0,0,1,0,0
34.92,300,30,1993.0,11.0,0,1,0,0,0
18.0,500,40,2021.0,12.0,0,0,0,0,1
49.59,2000,50,2002.0,24.0,0,0,0,0,1
36.0,400,35,1987.0,24.0,0,0,0,0,1
26.0,500,48,2018.0,12.0,0,0,0,0,1
23.0,300,35,2002.0,12.0,0,1,0,0,0
31.0,300,30,2003.0,12.0,0,0,0,0,1
15.0,100,30,2012.0,12.0,0,1,0,0,0
27.84,500,45,2014.0,12.0,0,0,0,0,1
33.0,500,50,1998.0,23.0,0,1,0,0,0
50.0,1000,65,2002.0,12.0,0,0,0,0,1
41.58,300,50,2003.0,24.0,0,1,0,0,0
50.0,500,61,2016.0,12.0,0,0,1,0,0
20.0,300,33,2002.0,12.0,0,0,0,0,1
20.0,500,43,2019.0,12.0,0,0,0,0,1
30.08,200,20,1985.0,12.0,0,0,0,1,0
50.0,500,40,2002.0,12.0,0,0,0,0,1
20.0,300,40,1995.0,14.0,0,1,0,0,0
15.0,100,20,2001.0,12.0,0,1,0,0,0
59.9,1000,55,1978.0,24.0,0,0,0,0,1
42.0,300,35,2008.0,12.0,0,0,0,0,1
20.0,300,30,1997.0,24.0,0,1,0,0,0
18.0,500,40,2021.0,12.0,0,1,0,0,0
23.0,300,35,1998.0,12.0,0,0,0,1,0
42.31,500,40,1978.0,24.0,0,0,0,1,0
